VariableName,NameZh,Category,Access,DataType,Dimension,DefaultValue,Unit,Index,Remarks,IsVisible,GodeGen,NonVolatile,AppParam,Min,Max,HighLevelParam,Cia402_ObjectDictionary_all
b,速度阻尼系数,PmsmConfig,RW,single,1,," Nm/(rad/s)",1,,Visible,1,,,,,,
fc,静摩擦大小,PmsmConfig,RW,single,1,," NM/(rad/s)",2,,Visible,1,,,,,,
flux,磁链系数,PmsmConfig,RW,single,1,," Wb",3,,Visible,1,,,,,,
j,转子惯量,PmsmConfig,RW,single,1,," kg.m^2",4,,Visible,1,,,,,,
ld,d定子电感,PmsmConfig,RW,single,1,," H",5,,Visible,1,,,,,,
lq,q定子电感,PmsmConfig,RW,single,1,," H",6,,Visible,1,,,,,,
peak_current,电机峰值电流,PmsmConfig,RW,single,1,," A",7,,Visible,1,,,,,,
pn,极对数,PmsmConfig,RW,single,1,," 对",8,,Visible,1,,,,,,
r,定子电阻,PmsmConfig,RW,single,1,," ohm",9,,Visible,1,,,,,,
rated_current,电机额定电流,PmsmConfig,RW,single,1,," A",10,,Visible,1,,,,,,
speed_max_rpm,电机最大转速,PmsmConfig,RW,single,1,," rpm",11,,Visible,1,,,,,,
i_abc_now_A,当前三相电流,ElecIdSinInput,RO,single,3,0,A,12,,Visible,1,,,,,,
state_now,激励信号状态标志位,ElecIdSinOutput,RO,int8,1,0,,13,"-2：辨识过程中检测电流过流，超过设定值的1.2倍
-1：激励信号错误，无法搜索到满足信噪比条件的激励信号
0：空闲状态，激励信号等待启动，重新使能电机进入电气辨识模式，将会重新复位该模块，状态从0开始
1：激励信号搜索阶段
2：激励信号稳定激励阶段，1->2上升沿时刻，立即开始离线波形采集
3：激励信号结束",Visible,1,,,,,,
dt_s,"运行周期
",ElecIdSinConfig,RW,single,1,0.0001,s,14,模块内部参数，由用户决定，一般和位置环控制频率同频,Visible,1,,,,,,
u_abc_tar_V,三相目标电压,ElecIdSinOutput,RO,single,3,0,V,15,,Visible,1,,,,,,
u_alpha_now_V,alpha轴当前电压 ,ElecIdSinOutput,RO,single,1,0,V,16,用于离线数据采集,Visible,1,,,,,,
i_alpha_now_A,alpha轴当前电流,ElecIdSinOutput,RO,single,1,0,A,17,用于离线数据采集,Visible,1,,,,,,
end_fs_Hz,终止频率,ElecIdSinConfig,RW,single,1,1,Hz,18,如果达到该频率 电流还没有达到目标值 则报错,Visible,1,,,,,,
i_max_A,"电气辨识最大电流
",ElecIdSinConfig,RW,single,1,1,A,19,辨识过程中超过设定的最大电流 1.2倍，则会立即停止辨识报错。一般该电流设置为电机额定电流,Visible,1,,,,,,
init_fs_Hz,初始激励频率,ElecIdSinConfig,RW,single,1,500,Hz,20,模块内部参数，一般不需要更改,Visible,1,,,,,,
target_time_s,激励信号持续时间,ElecIdSinConfig,RW,single,1,0.4,s,21,模块内部参数，根据硬件平台支持的离线波形采集最大时间来确定,Visible,1,,,,,,
u_max_V,电气辨识最大电压,ElecIdSinConfig,RW,single,1,12,V,22,辨识过程中激励电压最大值，一般设定为母线电压一半，如母线电压24V，该参数应当设定为12V,Visible,1,,,,,,
wait_time_s,激励信号自动调整等待时间,ElecIdSinConfig,RW,single,1,0.2,s,23,模块内部参数，一般不需要更改,Visible,1,,,,,,
iq_tar_A,目标力矩电流,MecIdOutput,RO,single,1,0,A,24,,Visible,1,,,,,,
dt_s,"运行周期
",MecIdConfig,RW,single,1,0.0001,s,25,,Visible,1,,,,,,
end_fs_Hz,扫描终止频率,MecIdConfig,RW,single,1,1000,Hz,26,,Visible,1,,,,,,
start_fs_Hz,扫描起始频率,MecIdConfig,RW,single,1,100,Hz,27,,Visible,1,,,,,,
target_time_s,激励信号持续时间,MecIdConfig,RW,single,1,0.4,s,28,离线波形需要采集到完整的激励信号,Visible,1,,,,,,
i_max_A,辨识过程中最大目标力矩电流iq,MecIdConfig,RW,single,1,1,A,29,一般设置为电机额定电流，注意这里是iq的电流最大值，是峰值电流，不是电机额定电流有效值,Visible,1,,,,,,
state_now,激励信号状态标志位,MecIdOutput,RO,int8,1,0,,30,"-1：激励信号错误，无法搜索到满足信噪比条件的激励信号
0：空闲状态，激励信号等待启动，重新使能电机进入电气辨识模式，将会重新复位该模块，状态从0开始
1：激励信号搜索阶段
2：激励信号稳定激励阶段，1->2上升沿时刻，立即开始离线波形采集
3：激励信号结束",Visible,1,,,,,,
iq_tar_A,速度环输出目标电流,NotchFilterInput,RO,single,1,0,A,31,,Visible,1,,,,,,
u0,前馈系数0,NotchFilterInternal,RO,single,6,,,32,,Invisible,1,,,,,,
iq_tar_filter_A,滤波后的目标电流,NotchFilterOutput,RO,single,1,,,33,,Visible,1,,,,,,
u1,前馈系数1,NotchFilterInternal,RO,single,6,,,34,,Invisible,1,,,,,,
u2,前馈系数2,NotchFilterInternal,RO,single,6,,,35,如果不滤波则将u2设置为1，其他系数都设置为0,Invisible,1,,,,,,
y0,反馈系数0,NotchFilterInternal,RO,single,6,,,36,,Invisible,1,,,,,,
y1,反馈系数1,NotchFilterInternal,RO,single,6,,,37,,Invisible,1,,,,,,
speed_now_rad_s,当前速度,MecIdInput,RO,single,1,0,rad/s,38,,Visible,1,,,,,,
search_speed_max_rad_s,辨识过程中搜索频率的最大转速,MecIdConfig,RW,single,1,10,rad/s,39,一般设置为电机额定转速的 5%~10%，激励信号频率会根据设定的最大速度进行频率搜索,Visible,1,,,,,,
wait_time_s,搜索等待时间,MecIdConfig,RW,single,1,0.4,s,40,每次激励信号搜索等待的时间,Visible,1,,,,,,
signal_type,激励信号类型,MecIdConfig,RW,uint8,1,0,,41,"0：chirp 信号  一般惯量比小于15场合适用
1：step  信号  大惯量无机械限位场合适用",Visible,1,,,,,,
pos_cmd_p,指令目标位置,InputShapingInput,RW,int64,1,0,P,42,,Visible,1,,,,,,
wn_Hz,末端振动抑制的频率,InputShapingConfig,RW,single,1,10,Hz,43,最小频率10Hz，由内部位置缓冲区大小决定,Visible,1,1,,,,1,
pos_cmd_shaping_p,整形后指令目标位置,InputShapingOutput,RO,int64,1,0,P,44,,Visible,1,,,,,,
run_frq_Hz,模块运行频率,InputShapingConfig,RW,single,1,10000,Hz,45,,Visible,1,1,,,,1,
pos_cmd_p_init,指令目标位置初始值,InputShapingInput,RW,int64,1,0,P,46,在调用模块初始化接口函数时候，会将该值对内部缓存进行全部初始化,Visible,1,,,,,,
channel_map,示波器通道映射,ScopeConfig,RW,uint32,16,,,47,16个通道的示波器参数映射(高16位Index，低16位数组下标）,Invisible,,,,,,,
channel_switch,示波器通道开关,ScopeConfig,RW,uint16,1,,,48,bit15-bit0二进制，表示通道16-通道1,Invisible,,,,,,,
control_word,示波器控制字,ScopeControl,RW,uint16,1,,,49,"    kScopeNull = 0x00（空模式，无效）
    kScopeConfig = 0x01（配置示波器参数）
    kSampleTrigger = 0x02（触发采样）
    kSampleImmediately = 0x03（立即采样）
    kSampleStop = 0x04（停止采样）
    kScopeReset = 0x06（重置示波器）",Invisible,,,,,,,
frame_data,示波器数据,ScopeData,RO,uint8,128,,,50,"示波器数据，一帧包含128字节
byte0:通道号
byte1:包索引
byte2:数据长度
byte3-byte7:保留0
byte8-byte127:示波器数据",Invisible,,,,,,,
frame_info,数据信息,ScopeControl,RW,uint32,1,,,51,高16位-示波器通道，低16位-包索引（上位机通过设置这个参数，获取frame_data）,Invisible,,,,,,,
frame_num,数据包总数,ScopeControl,RO,uint16,16,,,52,16个通道当前的采样数据包个数（上位机获取每个通道的数据包数量，用于获取frame_data）,Invisible,,,,,,,
sample_interval,示波器采样间隔,ScopeConfig,RW,uint8,1,,,53,示波器采样间隔，默认1（n：n个中断采样一次）,Invisible,,,,,,,
sample_points,示波器采样点数,ScopeConfig,RW,uint32,1,,,54,采样点数 = 采样时间/采样周期,Invisible,,,,,,,
status_word,示波器状态字,ScopeControl,RO,uint16,1,,,55,"kScopeNormal = 0（示波器正常）
kScopeError = 1（示波器异常）
kSampleSuccess = 2（采样完成）",Invisible,,,,,,,
trigger_delay,触发采样延时,ScopeConfig,RW,uint8,1,,,56,0-99（0%-99%）,Invisible,,,,,,,
trigger_mode,触发采样模式,ScopeConfig,RW,uint8,1,,,57,1-下降沿触发，0-上升沿触发,Invisible,,,,,,,
trigger_source,触发采样信号,ScopeConfig,RW,uint32,1,,,58,高16位：飞书参数索引值；低16位：数组类型参数下标（1-n），若不是数组类型参数，低16位默认0,Invisible,,,,,,,
trigger_threshold,触发采样阈值,ScopeConfig,RW,int32,1,,,59,触发阈值（取决于采样信号数据类型，32位数据只是用来存储二进制，上位机和嵌入式进行类型转化）,Invisible,,,,,,,
waveform_data_array,波形参数数组,WaveformData,RO,int64,6,,,60,嵌入式端的原始值（在任务中刷新）,Invisible,,,,,,,
waveform_map_info,波形参数映射,WaveformMap,RW,int32,6,,,61,高16位：飞书参数索引值；低16位：数组类型参数下标（0-n），若不是数组类型参数，低16位默认0,Invisible,,,,,,,
pos_tar_p,目标位置,PosSpeedCtlInput,RW,int64,1,0,P,62,,Visible,1,,,,,,
pos_now_p,当前位置,PosSpeedCtlInput,RO,int64,1,0,P,63,,Visible,1,,,,,,
iq_max_A,最大目标q轴电流,PosSpeedCtlInput,RW,single,1,1,A,64,,Visible,1,,,,,,
speed_tar_p_s,目标速度,PosSpeedCtlInput,RW,single,1,0,P/s,65,,Visible,1,,,,,,
acc_tar_p_ss,目标加速度,PosSpeedCtlInput,RW,single,1,0,P/s^2,66,,Visible,1,,,,,,
iq_tar_A,目标q轴电流,PosSpeedCtlOutput,RO,single,1,0,A,67,,Visible,1,,,,,,
aff,加速度前馈系数,PosSpeedCtlConfig,RW,single,1,0,100%,69,1 表示 100%  0~1,Visible,1,1,,,,1,
vff,速度前馈系数,PosSpeedCtlConfig,RW,single,1,1,100%,70,1 表示 100%   0~1,Visible,1,1,,,,1,
enc_line_inv_p_n,编码器分辨率倒数,PosSpeedCtlConfig,RW,single,1,0.0001,1/(P/n),71,1/enc_line   0~1,Visible,1,,,,,,
j_kt,惯性系数,PosSpeedCtlConfig,RW,single,1,0.000266666,kg*m^2/(N*m/A),72,,Visible,1,1,,,,1,
ki_s,速度环积分系数,PosSpeedCtlConfig,RW,single,1,1,A/rad,73,并联式PI,Visible,1,1,,,,1,
kp_p,位置环比例系数,PosSpeedCtlConfig,RW,single,1,1,Hz,74,,Visible,1,1,,,,1,
kp_s,速度环比例系数,PosSpeedCtlConfig,RW,single,1,1,A/(rad/s),75,并联式PI,Visible,1,1,,,,1,
speed_max_rad_s,最大目标速度限制,PosSpeedCtlConfig,RW,single,1,300,rad/s,76,,Visible,1,1,,,,,
tp_s,位置速度环运行周期,PosSpeedCtlConfig,RW,single,1,0.0001,s,78,,Visible,1,,,,,,
mode,运行模式,MotorCtlSmConfig,RW,int8,1,0,,81,"-6：转矩脉动与摩擦辨识模式
-5：机械特性辨识模式
-4：电角度辨识模式
-3：方向辨识模式
-2：极对数辨识模式
-1：电气特性辨识模式
0：空闲模式
1：力矩模式
2：速度模式
3：位置模式
4:  往复运动模式
5：参考信号模式
6:  MIT模式
127：电压控制模式",Visible,1,,,,,,
motor_enable,电机使能控制指令,MotorCtlSmInput,RW,uint8,1,0,,82,"0：失能电机 PWM 关闭 自由释放电机
1：使能电机 PWM开启 电机受控状态
3：清除错误",Visible,1,,,,,,
state,运行状态,MotorCtlSmOutput,RO,int8,1,0,,86,"0：电机失能状态
1：电机使能状态
-1：错误状态",Visible,1,,,,,,
error,错误代码,MotorCtlSmOutput,RO,uint32,1,0,,87,"0：无错误
1：欠压保护错误
2：过压保护错误
3：过速保护错误
4：低温保护错误
5：高温保护错误
6：位置跟随误差过大保护错误
7：过流保护",Visible,1,,,,,,
warning,警告代码,MotorCtlSmOutput,RO,uint32,1,0,,88,0：无警告,Visible,1,,,,,,
under_voltage_protection_V,欠压保护阈值,MotorCtlSmConfig,RW,single,1,15,V,90,低于该电压，进入欠压保护,Visible,1,,,,,,
over_voltage_protection_V,过压保护阈值,MotorCtlSmConfig,RW,single,1,58,V,91,高于该电压，进入过压保护,Visible,1,,,,,,
over_speed_protection_rad_s,过速保护阈值,MotorCtlSmConfig,RW,single,1,400,rad/s,92,高于该转速，进入过速保护,Visible,1,,,,,,
under_temperature_protection_d,欠温保护阈值,MotorCtlSmConfig,RW,single,1,-20,℃,93,低温保护,Visible,1,,,,,,
over_temperature_protection_d,过温保护阈值,MotorCtlSmConfig,RW,single,1,85,℃,94,高温保护,Visible,1,,,,,,
position_following_error_protection,位置跟随误差保护阈值,MotorCtlSmConfig,RW,int32,1,1000,P,95,仅位置控制时生效，位置控制误差绝对值超过该值则进行保护,Visible,1,,,,,,
idq_tar_A,目标id iq 电流,CurrentCtlInput,RW,single,2,0,A,96,,Visible,1,,,,,,
i_noise_A,电流采样噪声绝对值,CurrentCtlConfig,RW,single,1,0.1,A,97,,Visible,1,1,,,,,
uabc_tar_comp_V,死区补偿后目标三相电压,CurrentCtlOutput,RO,single,3,0,V,98,,Visible,1,,,,,,
iabc_now_A,iabc 三相当前电流反馈,CurrentCtlInput,RO,single,3,0,A,99,,Visible,1,,,,,,
elec_theta_rad,当前电角度,CurrentCtlInput,RO,single,1,0,rad,100,,Visible,1,,,,,,
dc_bus_now_V,当前母线电压,CurrentCtlInput,RO,single,1,0,V,101,,Visible,1,,,,,,
comp_du_V,死区补偿电压大小,CurrentCtlConfig,RW,single,1,0,V,102,,Visible,1,1,,,,,
idq_now_A,当前dq轴电流,CurrentCtlOutput,RO,single,2,0,A,103,,Visible,1,,,,,,
uabc_tar_org_V,补偿前目标三相电压,CurrentCtlOutput,RO,single,3,0,V,104,,Visible,1,,,,,,
bandwidth_percentage,电流环目标带宽 %,CurrentCtlConfig,RW,single,1,100,%,105,,Visible,1,1,,,,1,
dt_s,电流环运行周期,CurrentCtlConfig,RW,single,1,5e-05,s,106,,Visible,1,,,,,,
flux_wb,磁链系数,CurrentCtlConfig,RW,single,1,0,wb,107,用于前馈解耦,Visible,1,1,,,,1,
kp_ld,d轴 kp控制增益,CurrentCtlConfig,RW,single,1,0,V/A,114,,Visible,1,1,,,,1,
ki_ld,d轴 ki控制增益,CurrentCtlConfig,RW,single,1,0,V/(A*s),115,,Visible,1,1,,,,1,
kp_lq,q轴 kp控制增益,CurrentCtlConfig,RW,single,1,0,V/A,116,,Visible,1,1,,,,1,
ki_lq,q轴 ki控制增益,CurrentCtlConfig,RW,single,1,0,V/(A*s),117,,Visible,1,1,,,,1,
frq,陷波滤波器频率,NotchFilterConfig,RW,single,6,,Hz,119,,Visible,1,1,,,,1,
width,陷波滤波器宽度,NotchFilterConfig,RW,single,6,,Hz,120,,Visible,1,1,,,,1,
depth,陷波滤波器深度,NotchFilterConfig,RW,single,6,,dB,121,,Visible,1,1,,,,1,
pos_now_p,电机当前位置,SpeedObsPllInput,RO,int64,1,0,P,126,,Visible,1,,,,,,
tp_s,运行周期,SpeedObsPllConfig,RW,single,1,0.0001,s,127,,Visible,1,,,,,,
ev_rad_s,观测转速,SpeedObsPllOutput,RO,single,1,0,rad/s,128,,Visible,1,,,,,,
wn_Hz,速度观测带宽,SpeedObsPllConfig,RW,single,1,400,Hz,129,,Visible,1,1,,,,1,
enc_line_inv_p_n,编码器分辨率倒数,SpeedObsPllConfig,RW,single,1,0.0001,n/p,131,,Visible,1,,,,,,
speed_obs_max_rad_s,最大目标速度限制,SpeedObsPllConfig,RW,single,1,500,rad/s,133,,Visible,1,,,,,,
speed_now_rad_s,当前转速,PosSpeedCtlInput,RO,single,1,0,rad/s,134,,Visible,1,,,,,,
id_max_A,id 目标电流最大值,ElecAngleIdConfig,RW,single,1,3,A,137,通常设置为电机额定电流,Visible,1,,,,,,
id_tar_A,目标d轴电流,ElecAngleIdOutput,RO,single,1,,A,138,,Visible,1,,,,,,
pos_now_rad,转子当前位置,ElecAngleIdInput,RO,single,1,0,rad,139,,Visible,1,,,,,,
elec_bias_rad,电角度偏移值,ElecAngleIdOutput,RO,single,1,,rad,140,,Visible,1,,,,,,
state_now,运行状态,ElecAngleIdOutput,RO,int8,1,,,142,"-1：搜索错误
0：空闲状态
1：搜索阶段
2：稳定收敛阶段
3：搜索成功",Visible,1,,,,,,
dt_s,运行周期,ElecAngleIdConfig,RW,single,1,0.0001,s,143,,Visible,1,,,,,,
mode,运行模式,PosSpeedCtlConfig,RW,single,1,0,,146,"运行模式  
0：速度控制模式
1：位置控制模式",Visible,1,,,,,,
enc_counts_sum_p,编码器位置累计值,DirectionIdInput,RO,int64,1,,P,147,编码器累计的绝对值,Visible,1,,,,,,
elec_angle_add_rad,电角度步进的增量,DirectionIdConfig,RW,single,1,,rad,148,引导开环旋转磁场的目标电角度每次步进的增量,Visible,1,,,,,,
elec_angle_tar_rad,开环的目标电角度,DirectionIdOutput,RO,single,1,,rad,149,引导开环旋转磁场的目标电角度,Visible,1,,,,,,
direction,辨识的方向结果,DirectionIdOutput,RO,int8,1,,,150,"-1: 方向相反
0:辨识进行中，初始方向状态
1: 方向相同",Visible,1,,,,,,
